iter	Logloss
0	0.6536255927
1	0.6238164661
2	0.6009355081
3	0.5814640517
4	0.5678817526
5	0.5587945344
6	0.5531323206
7	0.5480369435
8	0.5392330276
9	0.5339449487
10	0.527667389
11	0.5239167424
12	0.5197438379
13	0.5174590653
14	0.5146903685
15	0.5106988054
16	0.507840667
17	0.505974848
18	0.5033434358
19	0.5005519187
20	0.4985347333
21	0.4966381101
22	0.4952056779
23	0.4923610647
24	0.4895035925
25	0.488214194
26	0.4867496297
27	0.4855201109
28	0.4841047037
29	0.4826674108
30	0.4801490919
31	0.4781197199
32	0.4769529798
33	0.4752748073
34	0.4742011607
35	0.473341912
36	0.4719749798
37	0.471240572
38	0.4700410718
39	0.469091292
40	0.4682695997
41	0.4673597912
42	0.4663414866
43	0.4655054935
44	0.4647801935
45	0.464317153
46	0.4630588083
47	0.4620125398
48	0.4604450009
49	0.4596964191
50	0.4579906637
51	0.4573227012
52	0.4567484168
53	0.4556386424
54	0.4546700792
55	0.4540484531
56	0.4526304418
57	0.4518676497
58	0.451012456
59	0.4503582285
60	0.4492969401
61	0.4484983993
62	0.4474044
63	0.4469208046
64	0.4463319339
65	0.4448778425
66	0.4439224873
67	0.4431457811
68	0.4426819225
69	0.4419421421
70	0.4407483441
71	0.4397629768
72	0.4386397136
73	0.4381461713
74	0.4368240765
75	0.4358852277
76	0.4341956018
77	0.432791114
78	0.4320807771
79	0.4314187695
80	0.431255413
81	0.4302337014
82	0.4288914148
83	0.4279838635
84	0.4276178061
85	0.4264598336
86	0.4256658078
87	0.4246403439
88	0.4242972943
89	0.4236310587
90	0.4226811268
91	0.4220461965
92	0.4211943746
93	0.420280594
94	0.4200154968
95	0.419024168
96	0.4179335141
97	0.417337336
98	0.4163990719
99	0.4156857127
100	0.4148104373
101	0.4139005073
102	0.4135701342
103	0.4126205955
104	0.411725683
105	0.4107990015
106	0.4100308866
107	0.4092023738
108	0.4087316461
109	0.4085192613
110	0.4078720604
111	0.4067526895
112	0.4061983188
113	0.4051605062
114	0.4041945723
115	0.4026031469
116	0.4013570864
117	0.4004591956
118	0.3996571621
119	0.399194928
120	0.3980612232
121	0.3970563873
122	0.3963255768
123	0.3956072268
124	0.3952305877
125	0.3943887711
126	0.3936215985
127	0.393231479
128	0.3925711044
129	0.3912527376
130	0.3906722838
131	0.389708558
132	0.3886091902
133	0.3875230439
134	0.3866391759
135	0.386051484
136	0.3854827148
137	0.3849772112
138	0.3841715765
139	0.3833539101
140	0.3824293396
141	0.38159698
142	0.3810980015
143	0.3796093533
144	0.3785989161
145	0.3779886952
146	0.3774445277
147	0.3765083776
148	0.375655844
149	0.3751707477
150	0.3743585413
151	0.3735999042
152	0.3729385201
153	0.3723415761
154	0.3718658496
155	0.3712663728
156	0.3703314878
157	0.3689466928
158	0.3683608569
159	0.367554605
160	0.3671632593
161	0.3666890548
162	0.3663124129
163	0.3659888816
164	0.3646163124
165	0.3637951465
166	0.3632129474
167	0.3628272612
168	0.362120966
169	0.3610037533
170	0.3600599601
171	0.359233721
172	0.3583749829
173	0.357409295
174	0.3568324736
175	0.3565651981
176	0.3557191301
177	0.3545393176
178	0.3535984583
179	0.3528098552
180	0.3523030384
181	0.3515513194
182	0.3508236335
