iter	MultiClass
0	0.685172829
1	0.6776796643
2	0.6707375035
3	0.6639995134
4	0.6582691533
5	0.6521367833
6	0.646145124
7	0.6409130414
8	0.6356649909
9	0.6305381238
10	0.6258153354
11	0.6219142466
12	0.6176747428
13	0.6137524299
14	0.6102410002
15	0.606319582
16	0.6026397676
17	0.5994573373
18	0.5954454801
19	0.5917585903
20	0.5888104799
21	0.5857793066
22	0.5837164619
23	0.5810705701
24	0.5783550579
25	0.575384802
26	0.5725104297
27	0.5702541885
28	0.5679806419
29	0.5656591748
30	0.56361191
31	0.5614602146
32	0.5593029116
33	0.5573025811
34	0.5554749573
35	0.5535018838
36	0.5515917763
37	0.5494852158
38	0.5477203878
39	0.5462570363
40	0.5448070871
41	0.54333057
42	0.5415238471
43	0.5399351686
44	0.5385740849
45	0.5374301513
46	0.5360866874
47	0.5349241187
48	0.5340434891
49	0.5328168717
50	0.5316407871
51	0.5303962198
52	0.5294394225
53	0.5284005168
54	0.5270413254
55	0.5259368019
56	0.52487041
57	0.5239595383
58	0.5233608072
59	0.5222620711
60	0.5214332856
61	0.5208241377
62	0.5201167925
63	0.5197253538
64	0.5190738769
65	0.5182755021
66	0.5175801222
67	0.516857983
68	0.5158071649
69	0.5150880491
70	0.5142324708
71	0.5134399839
72	0.5127627783
73	0.5119499725
74	0.5111339148
75	0.5106240702
76	0.5098548061
77	0.5095799165
78	0.509297596
79	0.508766786
80	0.5082905498
81	0.5076586841
82	0.5067507453
83	0.5061564842
84	0.5058478055
85	0.5053286381
86	0.5046789542
87	0.504249224
88	0.5037230449
89	0.5030248471
90	0.5025232062
91	0.5022592895
92	0.5021424764
93	0.501618581
94	0.5013068294
95	0.5011064983
96	0.5007187118
97	0.5003638075
98	0.5000002379
99	0.4995076426
100	0.4990161974
101	0.4984585245
102	0.4979521358
103	0.497704997
104	0.4974663763
105	0.4970015437
106	0.4964249435
107	0.4960979859
108	0.4956171762
109	0.495322792
110	0.4949120572
111	0.4944759581
112	0.4940877798
113	0.4937627602
114	0.4933758292
115	0.492894553
116	0.4926415497
117	0.4923137836
118	0.4918614895
119	0.4916628267
120	0.4913677762
121	0.4908757036
122	0.4906371968
123	0.4903068025
124	0.4901738663
125	0.4899286879
126	0.4894122057
127	0.4891890178
128	0.4888900059
129	0.4884799739
130	0.4883099306
131	0.4879108257
132	0.4874861136
133	0.4870536911
134	0.4868091922
135	0.4865826954
136	0.4861985855
137	0.4860443843
138	0.485854188
139	0.485724702
140	0.4856440424
141	0.4854304124
142	0.4851713635
143	0.4848653291
144	0.4846445016
145	0.484486871
146	0.4843022594
147	0.4841389382
148	0.483995782
149	0.4838072656
150	0.4837345215
151	0.4835522231
152	0.4834987525
153	0.4834381411
154	0.4832139372
155	0.4829687478
156	0.4827177619
157	0.482359086
158	0.482236794
159	0.4820450573
160	0.4817987162
161	0.4814733258
162	0.481162935
163	0.4808884897
164	0.4806697197
165	0.4805933883
166	0.4803948834
167	0.4802382293
168	0.4801908488
169	0.4800049138
170	0.4797617687
171	0.4795724251
172	0.4795132284
173	0.4792535164
174	0.4791743955
175	0.4789321013
176	0.4788108759
177	0.4786166319
178	0.4784450824
179	0.4782900643
180	0.4782145237
181	0.4780847866
182	0.4778832024
183	0.477762341
184	0.477596942
185	0.4774944556
186	0.477293237
187	0.4771486303
188	0.4770093174
189	0.4769551129
190	0.4767934591
191	0.4766523636
192	0.4766072292
193	0.4765653994
194	0.4763722521
195	0.4763487734
196	0.4760481606
197	0.4759583775
198	0.4758354956
199	0.4756983987
200	0.4756630105
201	0.4754780875
202	0.4753145974
203	0.4752035983
204	0.475041862
205	0.4748861863
206	0.4747607046
207	0.4745885426
208	0.4744636884
209	0.4744421278
210	0.4742356658
211	0.4740706741
212	0.4739465508
213	0.4737246153
214	0.4734864057
215	0.4733792812
216	0.4732446758
217	0.4731088828
218	0.4730148773
219	0.4728447397
220	0.4727564173
221	0.4726568197
222	0.4725346571
223	0.472424252
224	0.4722653345
225	0.472011103
226	0.471940314
227	0.4719006717
228	0.4717100183
229	0.471588297
230	0.471468208
231	0.4714324113
232	0.4713825464
233	0.4710906651
234	0.4709524229
235	0.4707429381
236	0.4706667741
237	0.4704005254
238	0.4703046545
239	0.4701379458
240	0.4699759595
241	0.4699188772
242	0.4698129074
