iter	Passed	Remaining
401	17709	202554
402	17753	202517
403	17799	202494
404	17853	202564
405	17907	202627
406	17953	202600
407	17995	202535
408	18040	202498
409	18085	202472
410	18126	202385
411	18169	202339
412	18217	202328
413	18260	202277
414	18308	202277
415	18363	202346
416	18405	202281
417	18448	202229
418	18496	202224
419	18540	202174
420	18585	202141
421	18632	202130
422	18681	202145
423	18728	202122
424	18770	202057
425	18822	202095
426	18866	202051
427	18918	202090
428	18963	202055
429	19003	201971
430	19046	201908
431	19093	201894
432	19133	201806
433	19182	201817
434	19227	201782
435	19273	201751
436	19318	201716
437	19369	201739
438	19436	201938
439	19484	201932
440	19540	202003
441	19593	202052
442	19642	202054
443	19698	202133
444	19739	202050
445	19781	201985
446	19833	202017
447	19882	202023
448	19934	202052
449	19985	202072
450	20028	202012
451	20071	201959
452	20121	201970
453	20164	201916
454	20208	201859
455	20253	201823
456	20302	201823
457	20345	201768
458	20392	201749
459	20454	201874
460	20500	201851
461	20544	201800
462	20592	201787
463	20636	201739
464	20680	201685
465	20727	201666
466	20772	201634
467	20815	201568
468	20867	201596
469	20921	201643
470	20975	201694
471	21017	201628
472	21063	201594
473	21112	201590
474	21158	201565
475	21202	201515
476	21248	201483
477	21296	201467
478	21337	201394
479	21385	201378
480	21426	201298
481	21489	201433
482	21536	201406
483	21585	201404
484	21625	201320
485	21674	201316
486	21718	201261
487	21761	201203
488	21804	201149
489	21849	201105
490	21901	201128
491	21955	201171
492	22002	201151
493	22051	201145
494	22095	201093
495	22139	201037
496	22180	200965
497	22224	200911
498	22273	200910
499	22314	200827
500	22359	200785
501	22406	200762
502	22450	200714
503	22510	200804
504	22554	200760
505	22598	200711
506	22642	200654
507	22688	200627
508	22732	200570
509	22777	200533
510	22818	200454
511	22863	200414
512	22903	200328
513	22958	200372
514	23023	200507
515	23079	200563
516	23180	201000
517	23240	201085
518	23291	201098
519	23337	201057
520	23391	201092
521	23438	201067
522	23483	201021
523	23556	201215
524	23610	201252
525	23658	201230
526	23708	201233
527	23758	201225
528	23807	201218
529	23853	201179
530	23899	201140
531	23948	201134
532	24005	201185
533	24058	201205
534	24110	201218
535	24167	201272
536	24214	201242
537	24261	201217
538	24308	201187
539	24337	201008
540	24380	200951
541	24429	200930
542	24473	200881
543	24517	200826
544	24562	200781
545	24638	200985
546	24692	201016
547	24744	201028
548	24791	200997
549	24846	201033
550	24901	201061
551	24956	201096
552	25007	201096
553	25055	201076
554	25109	201101
555	25166	201154
556	25217	201152
557	25265	201126
558	25310	201081
559	25353	201015
560	25398	200970
561	25443	200919
562	25482	200830
563	25529	200792
564	25575	200755
565	25616	200675
566	25682	200793
567	25729	200760
568	25773	200710
569	25815	200639
570	25862	200604
571	25913	200603
572	25959	200564
573	26004	200516
574	26049	200468
575	26100	200467
576	26148	200440
577	26204	200476
578	26251	200448
579	26300	200428
580	26344	200375
581	26394	200365
582	26438	200307
583	26484	200264
584	26532	200239
585	26579	200209
586	26620	200130
587	26670	200115
588	26736	200229
589	26783	200192
590	26825	200121
591	26878	200132
592	26921	200074
593	26965	200014
594	27006	199939
595	27050	199886
596	27094	199829
597	27145	199823
598	27196	199821
599	27244	199792
600	27291	199756
601	27344	199770
602	27387	199708
603	27439	199708
604	27484	199659
605	27532	199632
606	27582	199619
607	27635	199630
608	27686	199621
609	27760	199787
610	27812	199782
611	27864	199788
612	27917	199791
613	27963	199752
614	28010	199718
615	28059	199694
616	28101	199623
617	28146	199576
618	28194	199550
619	28251	199583
620	28300	199561
621	28351	199556
622	28402	199549
623	28450	199521
624	28500	199503
625	28549	199480
626	28594	199434
627	28645	199420
628	28688	199358
629	28736	199331
630	28807	199458
631	28861	199472
632	28912	199462
633	28966	199476
634	29014	199446
635	29061	199406
636	29104	199348
637	29145	199268
638	29191	199227
639	29244	199225
640	29297	199231
641	29346	199212
642	29398	199202
643	29448	199190
644	29495	199151
645	29547	199145
646	29596	199125
647	29646	199109
648	29696	199092
649	29742	199048
650	29792	199029
651	29870	199195
652	29929	199242
653	29979	199220
654	30021	199153
655	30071	199131
656	30119	199103
657	30166	199060
658	30210	199006
659	30258	198970
660	30301	198907
661	30353	198899
662	30402	198875
663	30452	198859
664	30501	198831
665	30548	198793
666	30595	198755
667	30638	198692
668	30684	198648
669	30731	198609
670	30770	198518
671	30814	198461
672	30862	198428
673	30937	198572
674	30980	198503
675	31023	198437
676	31070	198400
677	31110	198319
678	31159	198293
679	31202	198229
680	31246	198169
681	31293	198133
682	31340	198095
683	31396	198112
684	31446	198090
685	31497	198073
686	31545	198043
687	31596	198032
688	31655	198063
689	31712	198085
690	31778	198166
691	31835	198188
692	31879	198132
693	31953	198258
694	32009	198273
695	32055	198228
696	32102	198189
697	32151	198161
698	32193	198087
699	32248	198097
700	32295	198059
701	32340	198003
702	32388	197971
703	32441	197965
704	32492	197949
705	32543	197932
706	32587	197876
707	32634	197836
708	32682	197797
709	32723	197720
710	32768	197670
711	32818	197651
712	32872	197648
713	32919	197608
714	32968	197578
715	33045	197720
716	33100	197727
717	33158	197753
718	33212	197753
719	33267	197756
720	33312	197701
721	33360	197670
722	33406	197620
723	33455	197589
724	33504	197562
725	33560	197572
726	33608	197539
727	33654	197487
728	33699	197432
729	33746	197394
730	33787	197314
731	33837	197290
732	33884	197251
733	33926	197183
734	33969	197113
735	34016	197076
736	34105	197276
737	34173	197352
738	34232	197382
739	34291	197405
740	34346	197409
741	34396	197385
742	34443	197342
743	34496	197334
744	34547	197315
745	34598	197297
746	34656	197316
747	34709	197305
748	34760	197288
749	34806	197235
750	34855	197204
751	34895	197123
752	34940	197066
753	34984	197009
754	35030	196960
755	35074	196901
756	35151	197023
757	35202	197001
758	35252	196980
759	35297	196924
760	35343	196874
761	35389	196826
762	35432	196757
763	35479	196716
764	35516	196620
765	35561	196563
766	35617	196569
767	35670	196558
768	35716	196513
769	35761	196457
770	35805	196396
771	35850	196342
772	35894	196280
773	35940	196231
774	35981	196158
775	36028	196115
776	36072	196052
777	36117	195998
778	36186	196077
779	36239	196064
780	36285	196014
781	36327	195946
782	36370	195880
783	36418	195842
784	36458	195762
785	36504	195712
786	36554	195682
787	36595	195611
788	36645	195580
789	36699	195576
790	36752	195566
791	36805	195553
792	36852	195510
793	36902	195478
794	36948	195434
795	36989	195358
796	37041	195341
797	37086	195282
798	37128	195217
799	37173	195163
800	37247	195260
801	37293	195209
802	37338	195156
803	37379	195079
804	37428	195044
805	37469	194973
806	37517	194933
807	37560	194869
808	37607	194823
809	37650	194759
810	37696	194711
811	37752	194713
812	37798	194665
813	37844	194615
814	37890	194564
815	37931	194494
816	37976	194439
817	38020	194379
818	38062	194311
819	38107	194255
820	38152	194200
821	38193	194127
822	38242	194090
823	38318	194198
824	38370	194178
825	38413	194112
826	38458	194060
827	38503	194005
828	38548	193950
829	38591	193886
830	38641	193858
831	38687	193809
832	38731	193749
833	38780	193715
834	38836	193717
835	38940	193957
836	39015	194053
837	39065	194022
838	39114	193987
839	39161	193944
840	39216	193938
841	39263	193892
842	39350	194046
843	39397	194001
844	39445	193960
845	39500	193951
846	39550	193923
847	39602	193900
848	39647	193845
849	39700	193830
850	39758	193839
851	39811	193825
852	39869	193832
853	39924	193824
854	39979	193816
855	40032	193802
856	40089	193804
857	40139	193772
858	40193	193763
859	40241	193721
860	40300	193732
861	40356	193731
862	40438	193849
863	40486	193811
864	40534	193766
865	40579	193713
866	40624	193657
867	40672	193616
868	40720	193574
869	40768	193533
870	40827	193543
871	40881	193528
872	40931	193496
873	40983	193476
874	41038	193466
875	41093	193456
876	41146	193440
877	41195	193401
878	41250	193392
879	41302	193369
880	41357	193359
881	41405	193319
882	41486	193431
883	41533	193385
884	41580	193338
885	41626	193287
886	41668	193215
887	41719	193188
888	41766	193138
889	41810	193079
890	41855	193025
891	41901	192973
892	41953	192949
893	42000	192900
894	42055	192890
895	42094	192809
896	42141	192759
897	42191	192727
898	42238	192681
899	42285	192633
900	42339	192618
901	42383	192557
902	42428	192501
903	42470	192433
904	42548	192526
905	42597	192485
906	42639	192417
907	42682	192351
908	42728	192302
909	42774	192252
910	42820	192198
911	42874	192182
912	42916	192112
913	42966	192080
914	43015	192041
915	43066	192012
916	43115	191973
917	43166	191943
918	43212	191893
919	43253	191819
920	43300	191774
921	43345	191716
922	43388	191651
923	43435	191606
924	43488	191582
925	43534	191531
926	43612	191619
927	43658	191569
928	43703	191513
929	43748	191457
930	43794	191406
931	43834	191328
932	43882	191285
933	43923	191213
934	43969	191161
935	44015	191109
936	44058	191047
937	44106	191001
938	44155	190964
939	44206	190933
940	44253	190889
941	44299	190835
942	44342	190771
943	44387	190716
944	44438	190686
945	44483	190628
946	44523	190553
947	44571	190510
948	44616	190455
949	44702	190572
950	44748	190520
951	44790	190451
952	44840	190420
953	44888	190376
954	44934	190324
955	44982	190279
956	45028	190228
957	45067	190151
958	45114	190103
959	45167	190081
960	45225	190077
961	45271	190029
962	45317	189977
963	45369	189950
964	45414	189894
965	45460	189844
966	45508	189799
967	45557	189760
968	45597	189685
969	45646	189642
970	45708	189659
971	45776	189699
972	45823	189650
973	45866	189587
974	45908	189519
975	45956	189476
976	46002	189423
977	46051	189386
978	46095	189327
979	46138	189261
980	46185	189213
981	46234	189174
982	46281	189126
983	46332	189095
984	46381	189059
985	46405	188915
986	46454	188878
987	46500	188827
988	46547	188778
989	46588	188708
990	46638	188671
991	46681	188607
992	46728	188559
993	46803	188625
994	46850	188577
995	46895	188522
996	46938	188460
997	46985	188412
998	47031	188361
999	47073	188292
1000	47120	188246
1001	47165	188189
1002	47208	188128
1003	47257	188087
1004	47305	188046
1005	47356	188012
1006	47400	187956
1007	47449	187914
1008	47496	187866
1009	47542	187816
1010	47585	187751
1011	47626	187682
1012	47668	187614
1013	47717	187576
1014	47761	187515
1015	47802	187445
1016	47882	187527
1017	47930	187484
1018	47976	187432
1019	48019	187368
1020	48064	187313
1021	48109	187259
1022	48153	187199
1023	48196	187138
1024	48240	187078
1025	48286	187026
1026	48343	187020
1027	48392	186978
1028	48446	186960
1029	48490	186900
1030	48536	186848
1031	48579	186787
1032	48626	186737
1033	48670	186680
1034	48715	186626
1035	48759	186566
1036	48810	186534
1037	48856	186482
1038	48933	186551
1039	48982	186509
1040	49026	186451
1041	49070	186391
1042	49110	186320
1043	49156	186267
1044	49204	186223
1045	49250	186172
1046	49294	186111
1047	49335	186044
1048	49386	186010
1049	49434	185966
1050	49484	185932
1051	49537	185906
1052	49581	185849
1053	49624	185786
1054	49671	185736
1055	49718	185689
1056	49762	185632
1057	49814	185602
1058	49860	185552
1059	49903	185488
1060	49988	185582
1061	50031	185520
1062	50076	185467
1063	50126	185430
1064	50168	185362
1065	50215	185317
1066	50260	185260
1067	50301	185190
1068	50344	185131
1069	50391	185084
1070	50438	185033
1071	50490	185007
1072	50541	184971
1073	50586	184919
1074	50634	184873
1075	50686	184846
1076	50732	184793
1077	50775	184731
1078	50822	184686
1079	50868	184632
1080	50916	184588
1081	50961	184536
1082	51024	184545
1083	51099	184600
1084	51144	184544
1085	51185	184474
1086	51231	184425
1087	51282	184389
1088	51329	184343
1089	51380	184309
1090	51423	184246
1091	51472	184207
1092	51521	184168
1093	51571	184129
1094	51628	184117
1095	51682	184093
1096	51730	184051
1097	51773	183989
1098	51821	183943
1099	51869	183901
1100	51916	183854
1101	51959	183792
1102	52006	183743
1103	52053	183696
1104	52141	183793
1105	52187	183740
1106	52231	183682
1107	52278	183634
1108	52324	183583
1109	52366	183518
1110	52411	183465
1111	52463	183433
1112	52516	183406
1113	52563	183360
1114	52624	183359
1115	52676	183328
1116	52722	183279
1117	52774	183248
1118	52824	183211
1119	52872	183165
1120	52923	183133
1121	52971	183087
1122	53023	183056
1123	53075	183026
1124	53123	182982
1125	53218	183097
1126	53274	183079
1127	53333	183075
1128	53378	183018
1129	53430	182986
1130	53490	182984
1131	53541	182949
1132	53588	182899
1133	53638	182862
1134	53686	182816
1135	53738	182785
1136	53792	182762
1137	53843	182727
1138	53900	182711
1139	53951	182678
1140	53996	182623
1141	54053	182607
1142	54101	182563
1143	54148	182516
1144	54200	182482
1145	54282	182550
1146	54332	182512
1147	54375	182450
1148	54417	182387
1149	54463	182335
1150	54506	182273
1151	54552	182219
1152	54597	182166
1153	54643	182114
1154	54686	182053
1155	54739	182022
1156	54790	181986
1157	54834	181930
1158	54884	181890
1159	54934	181853
1160	54977	181791
1161	55030	181762
1162	55079	181719
1163	55136	181703
1164	55184	181658
1165	55229	181602
1166	55314	181681
1167	55383	181703
1168	55431	181658
1169	55477	181604
1170	55528	181570
1171	55576	181523
1172	55624	181480
1173	55678	181452
1174	55729	181417
1175	55778	181374
1176	55829	181337
1177	55882	181309
1178	55940	181297
1179	55984	181237
1180	56034	181199
1181	56083	181155
1182	56132	181114
1183	56179	181066
1184	56228	181021
1185	56274	180970
1186	56322	180923
1187	56401	180978
1188	56460	180969
1189	56508	180923
1190	56569	180918
1191	56620	180883
1192	56672	180848
1193	56725	180818
1194	56770	180763
1195	56824	180735
1196	56873	180694
1197	56940	180707
1198	56999	180696
1199	57059	180688
1200	57108	180644
1201	57160	180610
1202	57204	180554
1203	57252	180507
1204	57299	180457
1205	57340	180389
1206	57388	180343
1207	57594	180792
1208	57672	180842
1209	57719	180791
1210	57766	180742
1211	57806	180670
1212	57853	180619
1213	57900	180569
1214	57941	180499
1215	57990	180457
1216	58034	180399
1217	58081	180348
1218	58129	180303
1219	58179	180260
1220	58227	180215
1221	58340	180369
1222	58389	180324
1223	58436	180274
1224	58486	180234
1225	58528	180169
1226	58575	180118
1227	58623	180071
1228	58708	180138
1229	58755	180087
1230	58796	180020
1231	58836	179948
1232	58880	179889
1233	58929	179845
1234	58979	179802
1235	59032	179771
1236	59079	179722
1237	59131	179685
1238	59180	179643
1239	59230	179601
1240	59286	179579
1241	59336	179539
1242	59391	179511
1243	59436	179457
1244	59483	179405
1245	59530	179355
1246	59576	179303
1247	59623	179254
1248	59671	179205
1249	59715	179145
1250	59818	179265
1251	59867	179221
1252	59908	179152
1253	59961	179118
1254	60009	179071
1255	60059	179030
1256	60106	178979
1257	60152	178927
